question,answer
Is there any change in the syllabus of JEE (Main) 2020?,There is no any change in the syllabus of JEE(Main)-2020
Which Browser is to be used for applying the online application of JEE (main) - 2020 Examination?,": Use updated version of Internet Explorer/ Mozilla Firefox and good internet connection while filling online Application and fees payment. In case of continuous time out, clear cookies and history of the browser and fill in off-peak hours"
Is it necessary to appear in JEE (Main) Examination twice?,If the candidate will appear in both (January and April) the exam. It would be count one attempt
What will be the pattern of examination?,"national Testing Agency (NTA) has established a network of Test Practice Centres spread all over India to help the students aspiring to appear in examinations to be conducted by the NTA from 2019 onwards. The students can practice and train themselves before the examination for the “Computer Based Test (CBT)” mode of examinations.   The experienced, qualified and professional Nodal officer and staff available at the TPC will help and motivate the students to clear their doubts and solve problems and to make them familiar with the CBT mode of examinations.   For details see the NTA Websites: www.nta.ac.in / https://www.ntatpcsr.in/login/ "
Why option for a Date and Shift is not given in JEE (Main) -2020?,"It is informed that the allotment of Centre, Date and Shift will be randomly done through computer software as per the decision taken by NTA, after the closure of the Application Date."
Can I use a calculator in online examination conducted by NTA?,"Candidates shall maintain perfect silence and attend to their Question Paper only. Any conversation or gesture or disturbance in the Examination Room/Hall shall be deemed as misbehavior. If a candidate is found using unfair means or impersonating, his/her candidature shall be cancelled and he/she will be liable to be debarred for taking examination either permanently or for a specified period according to the nature of offence. 

Candidates are not allowed to carry any textual material, Calculators, Docu Pen, Slide Rules, Log Tables, and Electronic Watches with facilities of calculator, printed or written material, and bits of papers, mobile phone, pager or any other device, except the Admit Card and ID proof inside the Examination Room/Hall. If any candidate is in possession of any of the above item, his/her candidature will be treated as unfair means and his/her current examination will be cancelled & he/she will also be debarred for future examination(s) & the equipment will be seized. 

The Candidates, especially those who are carrying the barred items, including the metallic objects such as Kara and Kirpan etc., should report their respective Examination Centers one and half hour before the gate closing time, for ensuring timely checking/frisking and entry to the Examination Hall. 

If upon screening at the Examination Centre, it is discovered that any candidate is actually carrying, within the ‘Kara’ and ‘Kirpan’, a suspect device, he/she may be asked not to take it in the Examination Hall (as directed by the Hon’ble Delhi High Court vide its Order dated 03.05.2018). The decision of NTA on unfair means will be final and no correspondence will be entertained in this regard "
I have no access to a computer and no experience with online examination. How can I prepare for the examination?,"National Testing Agency (NTA) has established a network of Test Practice Centres spread all over India to help the students aspiring to appear in examinations to be conducted by the NTA from 2019 onwards. The students can practice and train themselves before the examination for the “Computer Based Test (CBT)” mode of examinations. 

The experienced, qualified and professional Nodal officer and staff available at the TPC will help and motivate the students to clear their doubts and solve problems and to make them familiar with the CBT mode of examinations. 

For details see the NTA Websites: www.nta.ac.in / https://www.ntatpcsr.in/login/ "
How can I recover my Application No?,"Kindly reset your Application No. from the link given below: 

https://testservices.nic.in/examsys/ForgotPassword/ForgetRegistration.aspx"
How can I reset my Password?,"Kindly reset your password from the link given below: 

https://testservices.nic.in/examsys/ForgotPassword/PwdResetOptno.aspx"
What is the 20 percentile?,"Eligibility for Admission to NITs, IIITs and CFTIs participating through Central Seat Allocation Board: 
Admission to B.E. / B.Tech / B.Arch / B.Planning. Courses in NITs, IIITs and CFTIs participating though Central Seat Allocation Board will be based on All India Rank subject to the condition that the candidate should have secured at least 75% marks in the 12thclass examination, or be in the top 20 percentile in the 12th class / Qualifying examination conducted by the respective Boards. For SC/ST candidates the qualifying marks would be 65% in the 12th class / qualifying examination. "
How can I remove discrepancy in images?,"If there is any discrepancy found in the images, a message will be sent to candidate’s registered mobile number and link will be provided to correct the images in their login. "
How many relaxation for EWS category?,"For admission to a participating institute, please see the reservations applicable in that particular institute. In case of institutes run by Central Government,10% of the seats are reserved for Category General-Economically Weaker Section(GEN-EWS), 15% of the seats are reserved for the category Scheduled Caste (SC), 7.5% for the category Scheduled Tribe (ST) and 27% for the category Other Backward Classes belonging to the “ Non Creamy layer” (OBC-NCL). Each category will have 5% reservations for Persons with Disabilities (PwD) as defined in The Rights of Persons with Disabilities Act, 2016 (RPwD Act 2016)."
What is EWS Category?,It is Economically weaker section
What is the minimumdisability percentage for PWD candidate?,Persons with Disability (PwD) with 40% or more disability
How can I make my PWD certificate?,"Gen-EWS, SC, ST, OBC and PwD candidates will be required to produce original certificate as per prescribed formats issued by the competent authority at the time of Seat Allocation Process as well as at the time of admission, failing which they will not be considered for admission."
How can I make my EWS category certificate?,"Gen-EWS, SC, ST, OBC and PwD candidates will be required to produce original certificate as per prescribed formats issued by the competent authority at the time of Seat Allocation Process as well as at the time of admission, failing which they will not be considered for admission."
What is the dress code?,There is no provision for dress code of January JEE(Main) -2020
Is it necessary to take a color print out of Admit Card?,Kindly follow the instructions given in the Admit card
Is it necessary to carry a same passport size photo at the exam center?,YES
What is the process of Normalization?,"The process of Normalization is an established practice for comparing candidate scores across multi session papers and is similar to those being adopted in other large educational selection tests conducted in India. For normalization across sections, NTA shall use the percentile equivalence. Percentile Scores: Percentile scores are scores based on the relative performance of all those who appear for the examination. Basically the marks obtained are transformed into a scale ranging from 100 to 0 for each session of examinees. The Percentile Score indicates the percentage of candidates that have scored EQUAL TO OR BELOW (same or lower raw scores) that particular Percentile in that examination. Therefore the topper (highest score) of each session will get the same Percentile of 100 which is desirable. The marks obtained in between the highest and lowest scores are also converted to appropriate Percentiles. 
The Percentile score will be the Normalized Score for the examination (instead of the raw marks of the candidate) and shall be used for preparation of the merit lists. The Percentile Scores will be calculated up to 7 decimal places to avoid bunching effect and reduce ties. The Percentile score of a Candidate is calculated as follows: 100 X Number of candidates appeared in the „Session‟ with raw score EQUAL TO OR LESS than the candidate Total number of the candidates appeared in the ‟Session‟ Note: The Percentile of the Total shall NOT be an aggregate or average of the Percentile of individual subject. Percentile score is not the same as percentage of marks obtained "
Can I carry a geometry box at the Exam center?,"Candidates shall maintain perfect silence and attend to their Question Paper only. Any conversation or gesture or disturbance in the Examination Room/Hall shall be deemed as misbehavior. If a candidate is found using unfair means or impersonating, his/her candidature shall be cancelled and he/she will be liable to be debarred for taking examination either permanently or for a specified period according to the nature of offence. 

Candidates are not allowed to carry any textual material, Calculators, Docu Pen, Slide Rules, Log Tables, and Electronic Watches with facilities of calculator, printed or written material, and bits of papers, mobile phone, pager or any other device, except the Admit Card and ID proof inside the Examination Room/Hall. If any candidate is in possession of any of the above item, his/her candidature will be treated as unfair means and his/her current examination will be cancelled & he/she will also be debarred for future examination(s) & the equipment will be seized. 

The Candidates, especially those who are carrying the barred items, including the metallic objects such as Kara and Kirpan etc., should report their respective Examination Centers one and half hour before the gate closing time, for ensuring timely checking/frisking and entry to the Examination Hall. 

If upon screening at the Examination Centre, it is discovered that any candidate is actually carrying, within the ‘Kara’ and ‘Kirpan’, a suspect device, he/she may be asked not to take it in the Examination Hall (as directed by the Hon’ble Delhi High Court vide its Order dated 03.05.2018). The decision of NTA on unfair means will be final and no correspondence will be entertained in this regard. "
Can I carry a water bottle at the exam center?,"Candidates shall maintain perfect silence and attend to their Question Paper only. Any conversation or gesture or disturbance in the Examination Room/Hall shall be deemed as misbehavior. If a candidate is found using unfair means or impersonating, his/her candidature shall be cancelled and he/she will be liable to be debarred for taking examination either permanently or for a specified period according to the nature of offence. 

Candidates are not allowed to carry any textual material, Calculators, Docu Pen, Slide Rules, Log Tables, and Electronic Watches with facilities of calculator, printed or written material, and bits of papers, mobile phone, pager or any other device, except the Admit Card and ID proof inside the Examination Room/Hall. If any candidate is in possession of any of the above item, his/her candidature will be treated as unfair means and his/her current examination will be cancelled & he/she will also be debarred for future examination(s) & the equipment will be seized. 

The Candidates, especially those who are carrying the barred items, including the metallic objects such as Kara and Kirpan etc., should report their respective Examination Centers one and half hour before the gate closing time, for ensuring timely checking/frisking and entry to the Examination Hall. 

If upon screening at the Examination Centre, it is discovered that any candidate is actually carrying, within the ‘Kara’ and ‘Kirpan’, a suspect device, he/she may be asked not to take it in the Examination Hall (as directed by the Hon’ble Delhi High Court vide its Order dated 03.05.2018). The decision of NTA on unfair means will be final and no correspondence will be entertained in this regard. "
How can I correct my some of the particular(s) of the Application form?,"An opportunity after a week of last date will be given to the candidates who have paid their fees and completed all the steps for such corrections, if any. The Correction in particulars of Application Form will be done through website (login with Application No. & Password) only from 11.10.2019 to 17.10.2019. No correction will be allowed thereafter. It is a onetime correction facility to the candidates to avoid any hardship to them, the candidates are informed to undertake the correction(s) very carefully as no further chance will be given. Moreover any changes in the correction have to be done online & cannot be sent in the form of hard copy/email /by hand /by post. 
For more details kindly see “SCHEDULE OF EVENTS WITH DATES” of Information Bulletin of JEE (Main)-2020. "
How can I change my Exam center?,"An opportunity for correction / change of Examination City will be given to the candidates from 11.10.2019 to 17.10.2019 who have paid their fees and completed all the steps of Online Application Form. It is a onetime facility and no correction will be allowed thereafter, no request for any type of correction in application form will be entertained in a form of hard copy/email /letter by hand or by post. For more details kindly read the Information Bulletin of January JEE (Main)-2020."
How can I change my Exam date and shift?,"The centre, date and shift allotted to the candidates for the JEE (Main)-2020 Examination by NTA is final. No changes will be made in the same."
Is itnecessary to upload any certificate during the submission of Application form?,"NTA is only examination conducting body, Certificate is not to be uploaded in the JEE (Main) Portal. "
How can I download my confirmation page?,The candidates are required to check the status of fee payment at JEE (Main) website (nta.nic.in) and take the printout of Confirmation Page. 
How can I get my money back if I have made the payment multiple time?,"For cancelled/Multiple payment transactions, the amount will automatically be refunded by the concerned Bank to concerned credit/debit card. The candidate has to pursue with the concerned bank for refund. The Contact Details of all Banks in available on the Website 
For more details kindly read the Information Bulletin of January JEE (Main)-2020. "
How can I download my Admit card?,rinting of Admit Cards from NTA’s website on 06.12.2019
What are the eligibility criteria for Paper-2?,"Eligibility for Admission to NITs, IIITs and CFTIs participating through Central Seat Allocation Board: 
Admission to B.E. / B.Tech / B.Arch / B.Planning. Courses in NITs, IIITs and CFTIs participating though Central Seat Allocation Board will be based on All India Rank subject to the condition that the candidate should have secured at least 75% marks in the 12thclass examination, or be in the top 20 percentile in the 12th class / Qualifying examination conducted by the respective Boards. For SC/ST candidates the qualifying marks would be 65% in the 12th class / qualifying examination. 


The eligibility criteria decided by the Council of Architecture for admission to B.Arch. course other than NITs, IIITs, CFTIs: 
“No candidate shall be admitted to architecture course unless she/he has passed an examination at the 
end of the qualifying examination with 50% marks in Physics, Chemistry and Mathematics and also 50% 
marks in aggregate of the qualifying examination”. 

For B.Planning, the candidates should have passed qualifying examination with 50 % marks in Mathematics and 50% marks in aggregate of the qualifying examination. 




Subject combinations required in the qualifying examination for admission to B.E./B.Tech, B.Arch and B.Planning Courses in NITs, IIITs, and other CFTIs shall be as under "
What type of Identification can we use during the submission of Application form?,"Any one of the authorized photo IDs (must be original, valid and non-expired) – PAN card/ Driving License/ Voter ID/ Passport/ Aadhaar Card (With photograph)/E-Aadhaar with photograph/ Ration Card with photograph/ 12th Class Board Admit Card with photograph/ Bank Passbook with Photograph"
Who's the counselling body of JEE (main)?,"Eligibility for Admission to Other Institutions: 
The above mentioned policy could also be adopted by other Technical Institutions participating in counselling through JoSAA/CSAB. In case a State opts to admit students in the engineering Colleges affiliated to State Universities, the State may prepare separate rank list based on criteria decided by them. 

Number of seats in various institutions: 
For all admission related procedures/queries, the candidates are advised to refer the website of JoSAA, Central Seat Allocation Board (CSAB) or the concerned State government/institute after declaration of ranks of JEE (Main)–2020. "
Who's the conducting body of JEEadvance?,IIT Roorkee
What is the web site of JEE (main)?,jeemain.nta.nic.in
What is reporting time of exam?,All details will be mentioned in Admit Card
What is the gate closing time?,All details will be mentioned in Admit Card
Is it necessary to carry id proof at exam center?,YES
"Can we correct the application form, particulars after the exam?","An opportunity after a week of last date will be given to the candidates who have paid their fees and completed all the steps for such corrections, if any. The Correction in particulars of Application Form will be done through website (login with Application No. & Password) only from 11.10.2019 to 17.10.2019. No correction will be allowed thereafter. It is a onetime correction facility to the candidates to avoid any hardship to them, the candidates are informed to undertake the correction(s) very carefully as no further chance will be given. Moreover any changes in the correction have to be done online & cannot be sent in the form of hard copy/email /by hand /by post. 
For more details kindly see “SCHEDULE OF EVENTS WITH DATES” of Information Bulletin of JEE (Main)-2020. 
NOTE: Use updated version of Internet Explorer/ Mozilla Firefox and good internet connection while filling online Application and fees payment. In case of continuous time out, clear cookies and history of the browser and fill in off-peak hours 
Regards, JEE (Main) Unit, 
NTA "
Can we change the center during the correction time period?,NO
