question,answer
Correction in Application Form,"An opportunity after a week of last date will be given to the candidates who have paid their fees and completed all the steps for such corrections, if any. The Correction in particulars of Application Form will be done through website (login with Application No. & Password) only from 11.10.2019 to 17.10.2019. No correction will be allowed thereafter. It is a onetime correction facility to the candidates to avoid any hardship to them, the candidates are informed to undertake the correction(s) very carefully as no further chance will be given. Moreover any changes in the correction have to be done online & cannot be sent in the form of hard copy/email /by hand /by post."
Discrepancy in Images,"If there is any discrepancy found in the images, a message will be sent to candidate’s registered mobile number and link will be provided to correct the images in their login. "
Password Reset,Kindly reset your password from the link given below:   https://testservices.nic.in/examsys/ForgotPassword/PwdResetOptno.aspx
Recovery of Application Number,Kindly reset your Application No. from the link given below:   https://testservices.nic.in/examsys/ForgotPassword/ForgetRegistration.aspx
Gate Closing Time,All details will be mentioned in Admit Card
Reporting time of Exam,All details will be mentioned in Admit Card
Aadhar Card Mandatory," It may be noted that Aadhaar Card is not a mandatory document for UGC NET December 2019 registrations. Candidates can free to provide any other valid Government ID number such as passport number, bank account number, etc."
Use of Calculator,"Candidates are not allowed to carry any textual material, Calculators, Docu Pen, Slide Rules, Log Tables, and Electronic Watches with facilities of calculator, printed or written material, and bits of papers, mobile phone, pager or any other device, except the Admit Card and ID proof inside the Examination Room/Hall. If any candidate is in possession of any of the above item, his/her candidature will be treated as unfair means and his/her current examination will be cancelled & he/she will also be debarred for future examination(s) & the equipment will be seized. "
Allowance to take any object in exam center,"Candidates shall maintain perfect silence and attend to their Question Paper only. Any conversation or gesture or disturbance in the Examination Room/Hall shall be deemed as misbehavior. If a candidate is found using unfair means or impersonating, his/her candidature shall be cancelled and he/she will be liable to be debarred for taking examination either permanently or for a specified period according to the nature of offence.   Candidates are not allowed to carry any textual material, Calculators, Docu Pen, Slide Rules, Log Tables, and Electronic Watches with facilities of calculator, printed or written material, and bits of papers, mobile phone, pager or any other device, except the Admit Card and ID proof inside the Examination Room/Hall. If any candidate is in possession of any of the above item, his/her candidature will be treated as unfair means and his/her current examination will be cancelled & he/she will also be debarred for future examination(s) & the equipment will be seized.   The Candidates, especially those who are carrying the barred items, including the metallic objects such as Kara and Kirpan etc., should report their respective Examination Centers one and half hour before the gate closing time, for ensuring timely checking/frisking and entry to the Examination Hall.   If upon screening at the Examination Centre, it is discovered that any candidate is actually carrying, within the �Kara� and �Kirpan�, a suspect device, he/she may be asked not to take it in the Examination Hall (as directed by the Hon�ble Delhi High Court vide its Order dated 03.05.2018). The decision of NTA on unfair means will be final and no correspondence will be entertained in this regard "
Email Id of Support Center,E-mail: ugcnet-nta@nic.in Queries- net.nta@gmail.com.
Negative Marking,There is no negative marking.
Change of Center,An opportunity will be given to students after the registration completion and only to those who have completed all the steps of registration and paid the fees. Its a one time opportunity and will not be allowed afterwards.
during correction time period is it possible to change center.,NO 
Certificates required during submission,No certificates are required by NTA
Necessary to carry PWD Certificate in Exam Center,Yes its necessary to carry PWD certificate
Payment Mode,"Debit Card/ Credit card, Net Banking/UPI/ PAYTM: ? Check the validity of the Debit/ Credit Card and keep it ready with you while logging on to website for submitting application form. Candidate should enter the information asked for and make payment through Debit/ Credit Card.  ? Through Net Banking, check the balance in your account and keep all credentials ready with you while logging on to website for submitting application form. Candidate should Login with his/her credentials of net banking and make payment through Net Banking. ? Through UPI service ? Through PAYTM service"
Fee Criteria for Answer Key Challenge, The challenge of provisional answer keys will be accepted online only through the link available on the website www.nta.nic.in on payment of a processing fee of Rs.1000/- per question. The fee can be paid by credit/debit card/Net banking/UPI/PAYTM service. The fee once paid is non-refundable. The NTA�s decision on the challenges shall be final and no further communication will be entertained.  The subject experts will examine all the challenges received and then a final answer key will be displayed and declared. The result will be compiled on the basis of this final answer key declared
Refund of Money if transaction done multiple times,"For cancelled/Multiple payment transactions, the amount will automatically be refunded by the concerned Bank to concerned credit/debit card. The candidate has to pursue with the concerned bank for refund. The Contact Details of all Banks in available on the Website "
 if Question challenged found correct Refund of money,fee paid is not refundable
Extra fee or any service charges while making online payment,The extra amount paid above the Examination Fees will be automatically deducted at the time fees payment from Debit/Credit Card.
Reservation system and Category, It is as per State Reservation Policy.
Re-Scheduling Of Exam due to Natural Disaster,Decision will be taken by higher authorities
How to check exam Date,Login to their registered accounts the details will be there.
Dress Code for Exam,"NTA has not specified any dress code. So, appearing students can wear whatever they wish and comfortable in. Here, we have suggested some details for dress code:  Do not wear anything with too many pockets. Do not wear jewelry. Wear simple, clothes without accessories. Preferably wear t-shirt and jeans, or top/kurti with leggings."
