question,answer
Recovery of Application Number,Kindly reset your Application No. from the link given below:   https://testservices.nic.in/examsys/ForgotPassword/ForgetRegistration.aspx
Gate Closing Time,All details will be mentioned in Admit Card
Reporting time of Exam,All details will be mentioned in Admit Card
Aadhar Card Mandatory," It may be noted that Aadhaar Card is not a mandatory document for CSIR UGC NET December 2019 registrations. Candidates can free to provide any other valid Government ID number such as passport number, bank account number, etc."
Use of Calculator," for your information, no calculator is allowed in CSIR NET exam be it for any stream. No kinds of Calculators, Mobile phones, Laptops, Log Tables, or Digital diaries are allowed in the exam hall."
Allowance to take any object in exam center," for your information, no calculator is allowed in CSIR NET exam be it for any stream. No kinds of Calculators, Mobile phones, Laptops, Log Tables, or Digital diaries are allowed in the exam hall."
Email Id of Support Center,"mailnetquery@gmail.com, 	examunit@csirhrdg.res.in"
Negative Marking,"Yes, as per the subject wise scheme, there will be a negative marking of 0.25 marks for every incorrect answer."
Change of Center,An opportunity will be given to students after the registration completion and only to those who have completed all the steps of registration and paid the fees. Its a one time opportunity and will not be allowed afterwards.
during correction time period is it possible to change center.,An opportunity will be given to students after the registration completion and only to those who have completed all the steps of registration and paid the fees. Its a one time opportunity and will not be allowed afterwards.
Certificates required during submission," Yes, candidates have to upload the following documents:  Scanned copies of the photograph and signature Qualifying degree certificate Category certificate PwD certificate, etc"
Necessary to carry PWD Certificate in Exam Center,Yes
Payment Mode," The payment for the CSIR UGC NET examination can be made online using a credit card, debit card, or net banking."
Fee Criteria for Answer Key Challenge, The challenge of provisional answer keys will be accepted online only through the link available on the website www.nta.nic.in on payment of a processing fee of Rs.1000/- per question. The fee can be paid by credit/debit card/Net banking/UPI/PAYTM service. The fee once paid is non-refundable. The NTA�s decision on the challenges shall be final and no further communication will be entertained.  The subject experts will examine all the challenges received and then a final answer key will be displayed and declared. The result will be compiled on the basis of this final answer key declared
Refund of Money if transaction done multiple times,"For cancelled/Multiple payment transactions, the amount will automatically be refunded by the concerned Bank to concerned credit/debit card. The candidate has to pursue with the concerned bank for refund. The Contact Details of all Banks in available on the Website "
 if Question challenged found correct Refund of money,Payment will be refunded if the challenge is accepted.
Extra fee or any service charges while making online payment,The extra amount paid above the Examination Fees will be automatically deducted at the time fees payment from Debit/Credit Card.
Reservation system and Category,"No, there are no reservation in category for CSIR NET aspirants."
Re-Scheduling Of Exam due to Natural Disaster,Decision will be taken by higher authorities
How to check exam Date, Candidates are required to check from the website www.csirhrdg.res.in.
Dress Code for Exam,
