question,answer
"The result of final year examination of Master’s Degree is awaited , OR The Candidate who is in First year of Master’s Degree, am I eligible to fill the online application form of UGC-NET December, 2019?","Those who are pursuing their Master’s degree or equivalent course or candidates who have appeared for their qualifying Master’s degree (final year) examination and whose result is still awaited or candidates whose qualifying examinations have been delayed may also apply for this test. However, such candidates will be admitted provisionally and shall be considered eligible for award of JRF/eligibility for Assistant
Professor only after they have passed their Master’s Degree OR equivalent examination with at least 55% marks (50% marks in case of OBC falling in Non Creamy layer/SC/ ST/PwD category candidates). Such candidates must
complete their Master’s degree or equivalent examination within two years from the date of NET result with required percentage of marks, failing which they shall be treated as disqualified."
Is there any relaxation in Eligibility Criteria (Percentage/Age) for EWS candidates?,The Eligibility Criteria and upper age limit (JRF) for EWS candidates will be same as for Unreserved (General) category candidates.
Whether the application fee exclude the Common Service charge?,The application fee would remain the same except the service charges.
"How can one remit fee for UGCNET December, 2019?","The examination fee for UGC-NET December, 2019 can be remitted through any Debit Card/Credit Card using SBI/Syndicate/HDFC/ICICI on-line gateway payment facility, Net Banking and Paytm"
"If any candidate faces any problem in remittance of fee due to failed transaction, what can he/she do?","If the payment status of online transaction (by credit/debit card) is not communicated by payment gateway in real time then fee payment is not complete and the candidate will not be able to download the Confirmation page. In this case, the candidate is required to pay fee again through either of online mode and download the acknowledgement page. The amount due to failed transaction of credit/debit card will be refunded back within 15 working days to the same account by the Bank."
"If a candidate for any reason has not appeared in the examination, is there any provision for fee refund?","No. Once the online Application Form is submitted successfully by the candidate, it cannot be withdrawn. Claims for refund of application fee will not be entertained under any circumstances."
Is Aadhaar mandatory for UGC NET December 2019?,"The Aadhaar number is only one of the types of identification and is not mandatory. Candidates may also enter Passport number, Ration Card number, Bank Account number, Voter ID number or any other valid Government identity number."
When will start Online submission of JEE (Main) -2020 Application form?,03.09.2019 to 30.09.2019 (upto 11.50 p.m.)
What are the fee criteria for the male candidate in General/ EWS/OBC (Non-creamy layer),"650( in India), 3000 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
What is the fee criteria for the male candidate in SC/ST/PwD/ Transgender?,"325( in India), 1500 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
What are the fee criteria for female candidates in General/ EWS/OBC (Non-creamy layer?),"325( in India), 1500 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
What is the fee criteria for female candidates in SC/ST/PwD/ Transgender?,"325( in India), 1500 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
What is the fee criteria for male Outside India candidate in SC/ST/PwD/ Transgender ?,"325( in India), 1500 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
What are the fee criteria for male Outside India candidate in General/ OBC (Non-creamy layer),"650( in India), 3000 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
What is the Eligibility for appearing in JEE (Main) – 2020?,"For appearing in the JEE (Main) examination there is no age limit for the candidates. The candidates who have passed class 12th / equivalent examination in 2018, 2019 or appearing in 2020 irrespective of their age can appear in JEE (Main) examination – 2020. The candidates should also satisfy themselves about their fulfilling the age limit requirements of the Institutes in which they are desirous of taking admission. The candidates must note that the IITs have an age limit / restriction, which will be published in JEE(Advanced)-2020 Information Brochure."
What is the age criteria for appearing in JEE (Main) -2020?,"For appearing in the JEE (Main) examination there is no age limit for the candidates. The candidates who have passed class 12th / equivalent examination in 2018, 2019 or appearing in 2020 irrespective of their age can appear in JEE (Main) examination – 2020. The candidates should also satisfy themselves about their fulfilling the age limit requirements of the Institutes in which they are desirous of taking admission. The candidates must note that the IITs have an age limit / restriction, which will be published in JEE(Advanced)-2020 Information Brochure."
The candidate is asking for year of appearance in qualifying Examination.,"Only those candidates who have passed their Class 12th Examination or any equivalent qualifying examination in 2018 or 2019; or those who are appearing in their Class 12th Examination or any equivalent qualifying examination in 2020 are eligible to appear in January JEE(Main)-2020 Examination. 

Candidates who passed Class 12th/Qualifying examination in 2017 or before as well as those who will appear in such examination in 2021 or later are not eligible to appear in JEE (Main)–2020. 

Candidates must note that the IITs permit only two attempts for the JEE (Advanced), i.e. a candidate should have appeared for the Class XII (or equivalent) examination for the first time in either 2019 or 2020, subject to the condition of not having been admitted at an IIT on earlier occasion. Details may be obtained from the Information Brochure of the JEE(Advanced)2020. "
The candidate is asking for Number of subjects in the Qualifying Examination (QE),"Only those candidates who have passed their Class 12th Examination or any equivalent qualifying examination in 2018 or 2019; or those who are appearing in their Class 12th Examination or any equivalent qualifying examination in 2020 are eligible to appear in January JEE(Main)-2020 Examination. 

Candidates who passed Class 12th/Qualifying examination in 2017 or before as well as those who will appear in such examination in 2021 or later are not eligible to appear in JEE (Main)–2020. 

Candidates must note that the IITs permit only two attempts for the JEE (Advanced), i.e. a candidate should have appeared for the Class XII (or equivalent) examination for the first time in either 2019 or 2020, subject to the condition of not having been admitted at an IIT on earlier occasion. Details may be obtained from the Information Brochure of the JEE(Advanced)2020. "
The candidate is asking for payment mode.,"Debit Card/ Credit card, Net Banking/UPI/ PAYTM:
 Check the validity of the Debit/ Credit Card and keep it ready with you while logging on to website for submitting application form. Candidate should enter the information asked for and make payment through Debit/ Credit Card. 
 Through Net Banking, check the balance in your account and keep all credentials ready with you while logging on to website for submitting application form. Candidate should Login with his/her credentials of net banking and make payment through Net Banking.
 Through UPI service
 Through PAYTM service"
The candidate is asking for No. of attempts in terms of year to appear in JEE (Main) -2020,"Only those candidates who have passed their Class 12th Examination or any equivalent qualifying examination in 2018 or 2019; or those who are appearing in their Class 12th Examination or any equivalent qualifying examination in 2020 are eligible to appear in January JEE(Main)-2020 Examination. 

Candidates who passed Class 12th/Qualifying examination in 2017 or before as well as those who will appear in such examination in 2021 or later are not eligible to appear in JEE (Main)–2020. 

Candidates must note that the IITs permit only two attempts for the JEE (Advanced), i.e. a candidate should have appeared for the Class XII (or equivalent) examination for the first time in either 2019 or 2020, subject to the condition of not having been admitted at an IIT on earlier occasion. Details may be obtained from the Information Brochure of the JEE(Advanced)2020. "
"If a Candidate appeared in 12th Class or equivalent examination in 2017and pass the Examination in 2018, will he/she be eligible to appear in JEE (Main) Examination?","Only those candidates who have passed their Class 12th Examination or any equivalent qualifying examination in 2018 or 2019; or those who are appearing in their Class 12th Examination or any equivalent qualifying examination in 2020 are eligible to appear in January JEE(Main)-2020 Examination. 

Candidates who passed Class 12th/Qualifying examination in 2017 or before as well as those who will appear in such examination in 2021 or later are not eligible to appear in JEE (Main)–2020. 

Candidates must note that the IITs permit only two attempts for the JEE (Advanced), i.e. a candidate should have appeared for the Class XII (or equivalent) examination for the first time in either 2019 or 2020, subject to the condition of not having been admitted at an IIT on earlier occasion. Details may be obtained from the Information Brochure of the JEE(Advanced)2020. "
What is the required percentage for General/OBC/SC/ST Categories to appear in JEE(Main) Examination-2020?,"Eligibility for Admission to NITs, IIITs and CFTIs participating through Central Seat Allocation Board: 
Admission to B.E. / B.Tech / B.Arch / B.Planning. Courses in NITs, IIITs and CFTIs participating though Central Seat Allocation Board will be based on All India Rank subject to the condition that the candidate should have secured at least 75% marks in the 12thclass examination, or be in the top 20 percentile in the 12th class / Qualifying examination conducted by the respective Boards. For SC/ST candidates the qualifying marks would be 65% in the 12th class / qualifying examination. 


The eligibility criteria decided by the Council of Architecture for admission to B.Arch. course other than NITs, IIITs, CFTIs: 
“No candidate shall be admitted to architecture course unless she/he has passed an examination at the 
end of the qualifying examination with 50% marks in Physics, Chemistry and Mathematics and also 50% 
marks in aggregate of the qualifying examination”. 

For B.Planning, the candidates should have passed qualifying examination with 50 % marks in Mathematics and 50% marks in aggregate of the qualifying examination. 




Subject combinations required in the qualifying examination for admission to B.E./B.Tech, B.Arch and B.Planning Courses in NITs, IIITs, and other CFTIs shall be as under. "
Is it compulsory for the candidates appearing in class 12th examination in 2020 or improvement examination in 2020 to enter their roll number of class 12th?,"The aspiring Candidates of JEE(Main)-2020 are advised to choose the option “Passed” in the section educational details for class 12th or equivalent if they are already appeared for class 12th or equivalent examination.
However if the Candidates has applied for improvement in one or more subject(s) the verification of the documents for Admission to IITs, NITs, IIITs, CFTIs, SFIs, State Engineering Colleges for Participating States and Other Participating Institutions, will be done by the counselling body.
No need to fill roll no. for appearing candidate of January JEE (Main) -2020"
"Will Candidate need to pay extra fee, i.e., service charges at the time of Online payment?",The extra amount paid above the Examination Fees will be automatically deducted at the time fees payment from Debit/Credit Card.
"If a Candidate chooses English as a question paper medium, will the question paper be bilingual or only in English?","Choice of Medium of Question Papers 
The medium of Question Paper shall be in English, Hindi and Gujarati. 
The option of question paper language should be exercised while filling up the Application Form and it cannot be changed at a later stage. 
Please note that for correctness of the questions in all the question papers, the English version will be taken as final. "
"If a Candidate fills the JEE (Main) Application form, and in between, Server Error occurs, then will he need to apply again?","Candidates are advised to use updated version of Internet Explorer/ Mozilla Firefox and good internet connection while filling online Application and fees payment. In case of continuous time out, clear cookies and history of the browser and fill in off-peak hours. 
If there is a Server Error / Server are temporarily out of service it will be resolved with 24 hours. "
